timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,forecastMode,priorAvailableMW,posteriorAvailableMW,forecastSigmaMW,planningAvailableMW,forecastErrorMW,plannedElectricityShare,plannedHydrogenShare,plannedComputeShare,rawPlannedElectricityShare,rawPlannedHydrogenShare,rawPlannedComputeShare,plannedRatioActive,planHeldByDeadband,planShareChangeL1,eventRiskLevel,riskQuantile,bessReserveTargetSOC,bessReserveShortfallMWh,reserveMode,planStatus,planFallbackUsed,planFallbackMessage,reserveConstraintRelaxationUsed,reliabilityRelaxationUsed,minimumFeasibleENSMWh,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pComputeBaseUnservedMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
0,NORMAL,327.969049616543,287.805789473684,200,0,0,184,0,0,40.1632601428591,0,49560,5756.11578947368,-65664.8842105263,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,327.969049616543,287.805789473684,40.1632601428591,66.3157894736842,0,0.89375,0,0,0,200,0,0,0,0,314.3056,13.0214041862257,0.642045430317657
1,NORMAL,314.917570879358,221.49,200,0,0,184,0,0,93.427570879358,0,49560,4429.8,-45130.2,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,314.917570879358,221.49,93.427570879358,0,0,0.89375,0,0,0,200,0,0,0,0,286.3756,27.2092983259927,1.33267255336529
2,NORMAL,291.840438733695,221.49,200,0,0,184,0,0,70.3504387336953,0,49560,4429.8,-45130.2,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,291.840438733695,221.49,70.3504387336953,0,0,0.89375,0,0,0,200,0,0,0,0,249.508,40.1699680641617,2.16247066953362
3,NORMAL,232.456082987042,221.49,200,0,0,184,0,0,10.9660829870421,0,49560,4429.8,-45130.2,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,232.456082987042,221.49,10.9660829870421,0,0,0.89375,0,0,0,200,0,0,0,0,176.89,52.2046676557883,3.36141533125378
4,NORMAL,189.034659350842,189.034659350842,167.544659350842,0,0,154.141086602775,0,0,0,0,42393.8607846659,3780.69318701684,-38613.1675976491,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,189.034659350842,189.034659350842,0,0,0,0.89375,0,0,0,167.544659350842,0,0,0,0,123.088,61.1244315922755,4.82222775856656
5,NORMAL,158.383746939714,158.383746939714,136.893746939714,0,0,125.942247184537,0,0,0,0,35626.1393242888,3167.67493879428,-32458.4643854945,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,158.383746939714,158.383746939714,0,0,0,0.89375,0,0,0,136.893746939714,0,0,0,0,94.864,57.0362761655473,6.48347077416645
6,NORMAL,149.704634262795,149.704634262795,128.214634262795,0,0,117.957463521771,0,0,0,0,33709.791245225,2994.09268525589,-30715.6985599691,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,149.704634262795,149.704634262795,0,0,0,0.89375,0,0,0,128.214634262795,0,0,0,0,87.808,45.4923059270679,16.4043283357266
7,NORMAL,158.133331487122,158.133331487122,136.643331487122,0,0,125.711864968152,0,0,0,0,50656.2713885347,3162.66662974243,-47493.6047587922,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,158.133331487122,158.133331487122,0,0,0,0.89375,0,0,0,136.643331487122,0,0,0,0,104.86,33.6866159852672,19.5867155018544
8,NORMAL,179.434951368027,179.434951368027,157.944951368027,0,0,145.309355258585,0,0,0,0,57711.3678930906,3588.69902736055,-54122.6688657301,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,179.434951368027,179.434951368027,0,0,0,0.89375,0,0,0,157.944951368027,0,0,0,0,138.376,18.3243180237534,22.7346333442739
9,NORMAL,204.820843804893,204.820843804893,183.330843804893,0,0,168.664376300501,0,0,0,0,66119.1754681804,4096.41687609785,-62022.7585920826,1,1,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,204.820843804893,204.820843804893,0,0,0,0.89375,0,0,0,183.330843804893,0,0,0,0,174.6556,4.18158389889633,25.9836599059962
